Broj upisnog lista;Naziv kazalista;Telefon kazalista;Fax kazalista;Email kazalista;Zupanija;Grad;Adresa kazalista;Status kazalista;Web kazalista;Naziv osnivaca kazalista;Zupanija osnivaca;Grad osnivaca;Adresa osnivaca;Naziv pravne osobe;Zupanija pravne osobe;Grad pravne osobe;Adresa pravne osobe;Tel pravne osobe;Fax pravne osobe;Email pravne osobe;Broj akta o osnivanju;Datum osnivanja akta;Broj statuta;Datum statuta;Broj upisa u registar;Datum upisa u registar;Intendant ravnatelj;Broj akta o imenovanju;Datum imenovanja intendanta;Popis članova;Napomena;
KAZ-045/11;Gradsko kazalište mladih     ;021/ 344 979;021/ 321 258;ravnatelj@gkm.hr;Splitsko-dalmatinska;Split;Trg Republike 1;Ustanova;www.gkm.hr;Grad Split;Splitsko-dalmatinska;Split;Obala kneza Branimira 17;;;;;;;;Klasa: 021-05/94/04/91, rješenje Gradskog vijeća Grada Splita;10.3.1994. 0:00:00;Klasa:612-03/23-01/118;28.7.2023. 0:00:00;Tt-96/1289-6;13.11.1996. 0:00:00;Ivo Perkušić;KLASA: 081-01/22-01/31;14.12.2022. 0:00:00;Ana Gruica Uglešić, VSS, glumica (izabrana od strane kazališnih umjetnika 21. 5..2024.),  Siniša Novković, VSS glumac (izabran od strane svih djelatnika kazališta21.5.2024.),  Željana Cvitanović, VSS, inspicijentica, imenovana 18.12.2021.,  Marija Dukić, VSS, profesorica hrvatskog jezika, imenovana 18.12.2021.,  Zlatko Aljinović, VSS, ekonomist, direktor d.o.o.-a, imenovan 18.12.2021.;Izmjena: produženje mandata dijelu članova Kazališnog vijeća.   Prethodne izmjene: Rješenje Trgovačkog suda Tt-23/9335-2 od 13.12. 2023., donošenje Statuta, imenovanje ravnatelja, članica Kazališnog Vijeća.  donošenje statuta (Zaključak o davanju prethodne suglasnosti Gradskog vijeća Grada Sšlita od 30.11. 2018. , Statut od 17. 12. 2018.).  izmjene statuta: Statutarna odluka o izmjeni Statuta GKM, od 30.6. 2010., od 10. 7. 2013. od 10.12. 2013. (Zaključak Gradskog vijeća Grada Splita o davanju prethodne suglasnosti na Prijedlog statutarne odluke o izmjeni i dopuni Statuta, Klasa: 612-01/13-02/6, od 25.11. 2013., Zaključak Gradskog vijeća Grada Splita o davnju prethodne suglasnosti na Prijedlog statutarne odluke o izmjeni i dopuni Statuta, Klasa: 612-01/14-02/1, od 9. 10. 2014.   upis u Sudski registar:Tt-96/1289-6 od 13.11. 1996.,  Tt-99/1919-6, od 22.11.1999., Tt-99/1919-09, od 8.12.2000., Tt-07/2839-6, od 1.2. 2008, Tt-14/6261-5, od 10.2. 2015., Tt-19/605-2, od 28.1.2019., Tt-19/4167-2, od 16.5.2019.;
KAZ-206;Kazališna družina Studio suncokret;021/385 333;;mucalo.suncokret@gmail.com;Splitsko-dalmatinska;Split;Jobova 20;Umjetnička organizacija;;Duško Mucalo, Ivo Amulić, Miro Međimorec;Splitsko-dalmatinska;Split;Jobova 20, Split, Duće, Vavlje III, Omiš, Zelenjak 80, Zagreb;Umjetnička organizacija Studio suncokret;Splitsko-dalmatinska;Split;Jobova 20;;;;;20.10.2014. 0:00:00;;20.10.2014. 0:00:00;381;17.11.2014. 0:00:00;Duško Mucalo;KLASA: UP/I-612-01/14-01/0032;17.11.2014. 0:00:00;;;
KAZ-077/1;Kazališna družina PLAY DRAMA;021/583 430;021/538 134;mail@playdrama.hr;Splitsko-dalmatinska;Split;Getaldićeva 13;Umjetnička organizacija;;Matko Botić, Petra Kovačić;Splitsko-dalmatinska;Split;Stube Marka Remsa 14, Rijeka, Bajčevo selo 10, 51219 Čavle;;;;;;;;Odluka o osnivanju;19.8.2008. 0:00:00;;19.8.2008. 0:00:00;229;21.8.2008. 0:00:00;Matko Botić;UP/I-612-01/08-01/0027;8.11.2017. 0:00:00;;Izmjene: promjena naziva umjetničke organizacije, djelatnosti, osnivača i članova te odgovorne osobe (umjetničkog voditelja).;
KAZ-042;Kazalište ZEBRA;091/ 2000 873;021/ 339 717;ivo.lesic@st.t-com.hr;Splitsko-dalmatinska;Split;Rendićeva 26;Umjetnička organizacija;;Ivo Lesić i Dijana Gerić;Splitsko-dalmatinska;Split;Rendićeva 26 i R. Boškovića 6;;;;;;;;;21.3.2005. 0:00:00;;21.3.2005. 0:00:00;Reg. broj 180;8.4.2005. 0:00:00;Ivo Lesić;Rješenjem MK Klasa: UP/I-612-01/05-01/07;8.4.2005. 0:00:00;;;
KAZ-109;"Produkcija Z";091/ 2000 873;021/ 339 717;ivo.lesic@st.t-com.hr;Splitsko-dalmatinska;Split;Rendićeva 26;Umjetnička organizacija;;Ivo Lesić, Brankica Jovanovski;Splitsko-dalmatinska;Split;I. Rendića 26, Split, Don Frane Bulića 97, Solin;;;;;;;;Odluka;3.6.2008. 0:00:00;;3.6.2008. 0:00:00;225;30.6.2008. 0:00:00;Ivo Lesić;Klasa: UP/I-612-01/08-01/0018;30.6.2008. 0:00:00;;Izmjene:  Prijenos osnivačkih prava s Duška Mucala na Ivu Lesića, statut (22.11.2011.). ;
KAZ-137;"KAZALIŠTE LICEM U LICE";098/914 2345;;kazaliste.licem.u.lice@st.t-com.hr;Splitsko-dalmatinska;Split;P.C. Pujanke 24/2;Umjetnička organizacija;;Ratko Glavina, Olga Glavina;Splitsko-dalmatinska;Split;;;;;;;;;Odluka;8.4.2013. 0:00:00;;12.4.2013. 0:00:00;331;6.5.2013. 0:00:00;Ratko Glavina;Klasa: UP/I-612-01/13-01/0010;6.5.2013. 0:00:00;;;
KAZ-204;Umjetnička organizacija Kazališna družina "Kuća smija";095/875 5879;;matkoelezovic@gmail.com;Splitsko-dalmatinska;Split;Škrape 30;Umjetnička organizacija;;Matko Elezović, Franjo Đaković;Splitsko-dalmatinska;Split;Škrape 30, Split, Stepinčeva 29, Split;;;;;;;;;17.11.2017. 0:00:00;;17.11.2017. 0:00:00;443;3.1.2018. 0:00:00;Matko Elezović;KLASA: UP/I-612-01/17-01/0031;3.1.2018. 0:00:00;;;
KAZ-213;Umjetnička organizacija Kazališna družina Ritam igre;098/225 822;;ivan.baranovic@yahoo.com;Splitsko-dalmatinska;Split;Vinogradska 41;Umjetnička organizacija;;Ivan Baranović, Monika Vuco;Splitsko-dalmatinska;Split;Ulica Domovinskog rata 45, Split, Ul. dr. Ante Starčevića 10a, Kaštel Sućurac;;;;;;;;;3.9.2018. 0:00:00;;3.9.2018. 0:00:00;468;30.11.2018. 0:00:00;Ivan Baranović;KLASA: UP/I-612-01/18-01/0037;30.11.2018. 0:00:00;;;
KAZ-038/11;Gradsko kazalište lutaka Split      ;021/ 395 958;;info@gkl-split.hr;Splitsko-dalmatinska;Split;Tončićeva 1;Ustanova;www.gkl-split.hr;Grad Split;Splitsko-dalmatinska;Split;Obala kneza Branimira 17;;;;;;;;akt o osnutku izgorio u požaru 1969.;8.3.1945. 0:00:00;Klasa: 612-03/23-01/06;29.9.2023. 0:00:00;Tt-23/7867-4;6.6.2023. 0:00:00;Lucijan Roki;Klasa:081-01/22-01/3;18.3.2022. 0:00:00;Aleksandra Dužević, VSS, prof. pedagogije i dipl. organizator kulturnih djelatnosti (imenovana Rješenjem Gradskog vijeća od 18.12.2021.),  Višnja Kačić Rogošić, VSS, doktorat, sveučilišna profesorica (imenovana Rješenjem Gradskog vijeća od 18.12.2021.),  Thomas Krstulović, VSS, magistar umjetnosti (imenovan Rješenjem Gradskog vijeća od 18.12.2021.),  Branimir Rakić, VSS, dipl. pravnik, glumac-lutkar (imenovan 30.10.2023.),  Justina Vojaković-Fingler, VSS, magistra kazališne umjetnosti-akademska glumica i lutkarica (imenovana 17.11.2023.).;Izmjene: novi članovi Kazališnog vijeća i novi Statut.    Promjene: izmjena statuta od 29.9.2023,  izmjena statuta:  Klasa:612-03/13-01/06, od 9. 12. 2013. (suglasnost Gradskog vijeća Grada Splita: Klasa: 612-01/13-02/6, od 25.11. 2013. ), prethodni Statut: 3.12.2007 (Klasa: 612-03(00-07), upisi u izmjena u sudski registar (popis u dokumentaciji):  izmjena: Tt-18/1164-2), od 6.2.2018., Tt-14/3815-2, od 12.8..2014.,   zadnja izmjena: Rješenje Trgovačkog suda u Splitu br. Tt-15/2782-2, od 5. 5. 2015.  (upis promjena odredbi Statuta).;
KAZ-043/7;Hrvatsko narodno kazalište Split    ;021/ 344 999;021/ 361 260;intendant@hnk-split.hr;Splitsko-dalmatinska;Split;Trg Gaje Bulata 1;Ustanova;www.hnk-split.hr;Grad Split ;Splitsko-dalmatinska;Split;Obala kneza Branimira 17;;;;;;;;9525/56;29.6.1956. 0:00:00;01/1852/23;2.8.2023. 0:00:00;MBS: 060148622;23.11.1998. 0:00:00;Vicko Bilandžić;;25.11.2022. 0:00:00;dr. sc. Magdalena Nigoević, redoviti profesor (18.12.2021.),  Mila Botteri, VSS, prof. kroatistike i južnoslavenskih filologija, glavna urednica u izdavačkoj kući Kronomedia (18.12.2021.),  Marija Ramljak, VSS, akademska glazbenica dirigentica, dirigentica i urednica u Programskom odjelu Glazbeni sadržaj HTV-a (18.12.2021.),  Helena Petković, magistra kazališne režije i radiofonije, kazališna redateljica (18.12.2021.),  Luka Jadrić, VSS, magistar muzike, violinist (18.12.2021.),  Dajana Stolić Bohnert, prof. glazbene kulture, zboristica (6.8.2022.),  Marjan Nejašmić Banić, magistar glume, dramski glumac (21.4.2023.)  ;Izmjene:  intendant,  članovi Kazališnog vijeća, statut  ;
KAZ-294;Kazališna družina "Kolektiv";099/675 6869;;;Splitsko-dalmatinska;Split;Ulica ban Mladenova 9;Umjetnička organizacija;;Nela Sisarić, Alen Čelić;Splitsko-dalmatinska;Split;;Umjetnička organizacija IKS Festival;Splitsko-dalmatinska;Split;Ulica ban Mladenova 9;;;;;9.10.2024. 0:00:00;;9.10.2024. 0:00:00;310;16.10.2024. 0:00:00;Nela Sisarić;;16.10.2024. 0:00:00;;Kazališna družina "Kolektiv" je posebna ustrojstvena jedinica u sklopu Umjetničke organizacije IKS Festival. Nela Sisarić je ravnateljica Kazališne družine i umjetnička voditeljica Umjetničke organizacije.;
KAZ-162;KRUNA TARLE-art;091/5858 598;;krunatarle@gmail.com;Grad Zagreb;Grad Zagreb;Marijana Dragmana 2;Umjetnička organizacija;;Krunoslava Tarle Šnajder, Slobodan Šnajder;Splitsko-dalmatinska;Trogir;Vela Rina 50a, Drvenik Mali;;;;;;;;;9.6.2014. 0:00:00;;9.6.2014. 0:00:00;365;8.8.2014. 0:00:00;Krunoslava Tarle Šnajder;UP/I-612-01/14-01/0015;8.8.2014. 0:00:00;;;
KAZ-246;Kazališna družina "PROBA"       ;097/762 1310;;uoproba@gmail.com;Splitsko-dalmatinska;Tučepi;Gornji ratac 33;Umjetnička organizacija;;Lara Lalić, Romana Lalić Pejković;Splitsko-dalmatinska;Tučepi;;Umjetnička organizacija "PROBA";Splitsko-dalmatinska;Tučepi;Gornji ratac 33;;;;;15.9.2021. 0:00:00;;15.9.2021. 0:00:00;552;29.9.2021. 0:00:00;Lara Lalić;KLASA: UP/I-612-01/21-01/0036;29.9.2021. 0:00:00;;Kazališna družina "PROBA" posebna je ustrojstvena jedinica u sklopu Umjetničke organizacije "PROBA".;
KAZ-142;"AKCENT STUDIO";091/3003083;;elislovric@yahoo.it;Istarska;Labin;Obala maršala Tita 67;Umjetnička organizacija;;Elis Lovrić, Robert Schenk;Istarska;Pula;Castropola 15, Pula, Zadarska 32, Pula;;;;;;;;Odluka;8.6.2003. 0:00:00;;8.6.2003. 0:00:00;149;30.6.2003. 0:00:00;Elis Lovrić;Klasa: UP/I-612-01/03-01-14;30.6.2003. 0:00:00;;;
KAZ-027/5;ISTARSKO NARODNO KAZALIŠTE - GRADSKO KAZALIŠTE PULA;052/ 222 380;052/ 214 303;ink@ink.hr;Istarska;Pula;Laginjina 5;Ustanova;www.ink.hr;Grad Pula;Istarska;Pula;Forum 1;;;;;;;;Klasa: 021-05/04-01/88, Ur.broj: 2168/01-07-03-04-4;13.7.2004. 0:00:00;40/2007;15.3.2007. 0:00:00;Tt-04/3208-2, MBS 040036074;4.10.2004. 0:00:00;Gordana Jeromela Kaić;Klasa: UP/I-612-01/14-01/1;25.2.2014. 0:00:00;Elda Krajcar Percan, VSS, mr. art., profesorica klavira, 1.8.2018.,  Miodrag Čerina, mag. politologije, ravnatelj Studentskog centra Pula, 1.8.2018.  Šime Vidulin, VSS, akademski kipar, umirovljenik,  1.8.2018.  Klara Cerin, mag. mus., voditeljica marketinga, 23.7.2018.  Andrea Gotovina, baccalaureus, plesna pedagoginja i koreografkinja, 23.7. 2018.;Izmjena: članovi Kazališnog vijeća.  izmjene i dopune Statuta od 19. 12. 2013. ;
KAZ-114;"Teatar Naranča";099/527 4005;;teatar.naranca@gmail.com;Istarska;Pula;Radićeva 22;Umjetnička organizacija;;Luka Juričić, Franjo Tončinić;Istarska;Pula;Marianijeva 10, Pula, Vitasovićeva 14, Pula;;;;;;;;Odluka;30.10.2011. 0:00:00;;30.10.2011. 0:00:00;295;8.12.2011. 0:00:00;Luka Juričić;Rješenje MK, Klasa: UP/I-612-01/11-01/0022;8.12.2011. 0:00:00;;;
KAZ-253;Umjetnička organizacija Kazališna družina Malo istarsko lutkarsko kazalište ;098/290735;;jasminko.balenovic@gmail.com;Istarska;Pula;A. Negri 20;Umjetnička organizacija;;Jasminko Balenović, Livio Morosin;Istarska;Pula;A. Negri 20;;;;;;;;Odluka;15.2.2000. 0:00:00;;31.1.2022. 0:00:00;67;6.3.2000. 0:00:00;Jasminko Balenović;KLASA: UP/I-612-01/00-01/05;6.3.2000. 0:00:00;;;
KAZ-144;Međunarodni festival komornog teatra Zlatni lav Umag;;;;Istarska;Umag;Gornji Babići 56;Umjetnička organizacija;;Damir Zlatar Frey, Zvonimir Peranić;Istarska;Umag;Gornji babići 66, Umag, Kvaternikova 4, Rijeka;;;;;;;;;8.7.2013. 0:00:00;;8.7.2013. 0:00:00;342;20.8.2013. 0:00:00;Damir Zlatar Frey;Klasa: UP/I-612-01/13-01/0023;20.8.2013. 0:00:00;;;
KAZ-188/1;Umjetnička organizacija Kazališna družina CLOU;097/7327 327;;clou.uo@gmail.com;Primorsko-goranska;Rijeka;Mihanovićeva 47;Umjetnička organizacija;;Nina Sabo, Valentina Lončarić;Istarska;Umag;;;Primorsko-goranska;Rijeka;Mihanovićeva 47;;;;Odluka;25.7.2016. 0:00:00;;25.7.2016. 0:00:00;412;30.8.2016. 0:00:00;Nina Sabo;UP/I-612-01/16-01/0018;10.8.2016. 0:00:00;;;
KAZ-022/12;Gradsko kazalište Marina Držića    ;020/ 321 006;020/ 321 006;kmd@kmd.hr;Dubrovačko-neretvanska;Dubrovnik;Kovačka 1;Ustanova;www.kmd.hr;Grad Dubrovnik;Dubrovačko-neretvanska;Dubrovnik;Pred Dvorom 1;;;;;;;;Klasa: 612-03/91-01/11, Ur.broj: 2117-01-03-92-6;5.2.1992. 0:00:00;KLASA: 611-01/23-02/11;8.5.2023. 0:00:00;Us-36/92, uložak I-9823;20.2.1992. 0:00:00;Paolo Tišljarić;Klasa: 013-03/21-03/41;27.12.2021. 0:00:00;Đuro Market ,VSS, umirovljenik, (27.12.2021.),  Davor Mojaš, SSS, novinar (27.12.2021.),  Hrvoje Sebastijan, VSS, glumac  (10.2.2023.),  Asim Arslanagić, SSS, strojarski tehničar  (25.1.2022.),  izv. prof. dr. sc. Marija Gjurašić (12.7.2024.).    ;Izmjena: član Kazališnog vijeća.  Prethodne Izmjena: članovi Kazališnog vijeća, imenovanje ravnatelja.   i dopune Statuta:  suglasnost: Klasa: 612-01/13-01/49, 27.1. 2014., statut: 2007.;
KAZ-257;Kazališna družina teatar.002    ;091/727 1076;;teatar002@gmail.com;Međimurska;Čakovec;Ulica dr. Vinka Žganca 15;Umjetnička organizacija;;Bruno Kontrec, Mario Jakšić;Međimurska;Čakovec;Ulica dr. Vinka Žganca 15;Umjetnička organizacija .002;Međimurska;Čakovec;Ulica dr. Vinka Žganca 15;;;;;23.1.2022. 0:00:00;;23.1.2022. 0:00:00;573;19.4.2022. 0:00:00;Bruno Kontrec;KLASA: UP/I-611-09/22-01/0016;19.4.2022. 0:00:00;;Teatar.002 je zasebna ustrojstvena jedinica unutar Umjetničke organizacije .002.  Bruno Kontrec je ravnatelj Kazališne družine teatar.002 i odgovorna osoba Umjetničke organizacije .002.;
KAZ-011/5;KAZALIŠNA DRUŽINA "PINKLEC"  ;040/ 311 488;040/ 312 770;theatrepinklec@gmail.com;Međimurska;Čakovec;Trg Republike 3;Ustanova;www.kdpinklec.com,www.facebook.com/kdpinklec;Gradsko vijeće Grada Čakovca;Međimurska;Čakovec;;Centar za kulturu Čakovec;Međimurska;Čakovec;Trg Republike 3;;;;Klasa: 021-05/06-01/18, Ur.broj: 2109/2-02-06-06;21.12.2006. 0:00:00;Ur.broj: 72/15;6.5.2015. 0:00:00;Tt 02/99-2;22.1.2003. 0:00:00;Helga Lajtman;Klasa: 007-04/23-01/1;27.1.2023. 0:00:00;Upravno vijeće Centra za kulturu, od 31.8.2023.:  Sandra Breka-Ovčar, VSS,prof.,  Marina Držanić, bacc. oec.,  Marko Žerjav, VSS,prof.,  Neven Taradi, VSS, dipl. ing. sigurnosti,  Petra Furdi-Šafarić, mag.oec.    ;Izmjene: članovi Upravnog vijeća (u funkciji Kazališnog vijeća).  Kazališna družina Pinklec posebna je ustrojstvena jedinica u sastavu druge pravne osobe.     - statut (72/15, 6.5. 2015.);
KAZ-106/1;Dječje kazalište Dubrava   ;01/20 50 030;;ns-dubrava@ns-dubrava.hr;Grad Zagreb;Grad Zagreb;Cerska 1;Ustanova;www.kazalistedubrava.hr;Grad Zagreb;Grad Zagreb;Grad Zagreb;Trg Stjepana Radića 1;Narodno sveučilište Dubrava;Grad Zagreb;Grad Zagreb;Cerska 1;;;;4671/1-63;26.2.1963. 0:00:00;1138/94, 612-13/95-01/63;11.11.1994. 0:00:00;Tt-97/885-3, MBS: 080157372;16.7.1997. 0:00:00;Željko Šturlić;;7.5.2018. 0:00:00;Članovi Upravnog vijeća:  Mira Božić, VŠS, nastavnica predškolskog odgoja, odgojiteljica-savjetnica, umirovljenica  Davorka Moslavac Forjan, VSS ,dr.sc. organske kemije  Svebor Vidmar, VSS, prof. likovne kulture;Dječje kazalište Dubrava posebna je ustrojstvena jedinica u sastavu Narodnog sveučilišta Dubrava. Voditeljica Dječjeg kazališta Dubrava je Sandra Banić Naumovski (ugovor o radu od 1.3.2017.).    Izmjene:   Zaključak Gradske skupštine Grada Zagreba, o zadnjoj izmjeni Statuta:  Klasa: 021-05/11-01/244 od 25. 10. 2011. (osnivanje kazališne ustrojstvene jedinice u sastavu NS Dubrava).;
KAZ-209;Kazališna družina Novi život     ;01/4812 502, 4812 066;;kazaliste@novizivot.hr;Grad Zagreb;Grad Zagreb;Šenoina 32;Trgovačko društvo;www.novizivot.hr;Vojin Perić;Grad Zagreb;Grad Zagreb;Ante Topić Mimare 7;Teatroza d.o.o.;Grad Zagreb;Grad Zagreb;Šenoina 32;;;teatroza.zagreb@gmail.com;OU-49/2020;15.7.2020. 0:00:00;;;Tt-20/17039-2;22.7.2020. 0:00:00;Vojin Perić;;15.7.2020. 0:00:00;;;
KAZ-210;Kazališna družina SPEF                                     ;095/894 5500;;efektispecijalni@gmail.com;Grad Zagreb;Grad Zagreb;Gundulićeva 58;Umjetnička organizacija;;Una Radić, Ivan Đuričić;Grad Zagreb;Grad Zagreb;Vinkovićeva 15, Zagreb, Ivana Broza 22, Zagreb;Umjetnička organizacija Specijalni efekti;Grad Zagreb;Grad Zagreb;Gundulićeva 58;;;;Odluka;20.3.2019. 0:00:00;;20.3.2019. 0:00:00;490;21.2.2020. 0:00:00;Una Radić;KLASA: UP/I-612-01/19-01/0031;21.2.2020. 0:00:00;;Kazališna družina SPEF je posebna ustrojstvena jedinica u sastavu Umjetničke organizacije Specijalni efekti.;
KAZ-211;Kazališna družina MADEdance         ;095/7772228;;made.info.hr@gmail.com;Grad Zagreb;Grad Zagreb;Cesargradska 5;Umjetnička organizacija;;Selena Beram, Irena Đurkesac;Grad Zagreb;Grad Zagreb;Ivekovićeva 17, Zagreb, Cesargradska 5, Zagreb;Umjetnička organizacija MADE izvedbene umjetnosti i multimedija;Grad Zagreb;Grad Zagreb;Cesargradska 5;;;;;25.4.2020. 0:00:00;;25.4.2020. 0:00:00;505;22.5.2020. 0:00:00;Selena Beram;KLASA: UP/I-612-01/20-01/0015;22.5.2020. 0:00:00;;Kazališna družina MADEdance je posebna ustrojstvena jedinica u sastavu Umjetničke organizacije MADE izvedbene umjetnosti i multimedija.  ;
KAZ-143;Umjetnička organizacija "MAŠINA";01/7773026, 098/9827 895;;ana.letunic@gmail.com;Grad Zagreb;Grad Zagreb;Krajiška 12;Umjetnička organizacija;;Ana Letunić, Mila Pavićeviić;Grad Zagreb;Grad Zagreb;Krajiška 12, Zagreb, Iva Dulčića 15a, Dubrovnik;;;;;;;;;20.6.2013. 0:00:00;;20.6.2013. 0:00:00;340;2.7.2013. 0:00:00;Ana Letunić;UP/I-612-01/13-01/0019;2.7.2013. 0:00:00;;;
KAZ-148;Multimedijalna koliba;095/832 86 82;;zrinka.simicic@gmail.com;Grad Zagreb;Grad Zagreb;Buconjićeva 39;Umjetnička organizacija;;Zrinka Šimičić Mihanović, Pavlica Bajsić;Grad Zagreb;Grad Zagreb;Kordunska 3, Zagreb, Gorice 69, Zagreb;;;;;;;;;20.6.2013. 0:00:00;;20.6.2013. 0:00:00;341;15.7.2013. 0:00:00;Zrinka Šimičić Mihanović;UP/I-612-01/13-01/0020;15.7.2013. 0:00:00;;;
KAZ-149;Teatar Barakuda 2012;091/9579 951;;teeatar@barakuda2012.com.hr;Grad Zagreb;Grad Zagreb;Ulica Crvenog križa 21;Umjetnička organizacija;;Sanja Sumrak Radoš, Đuro Rogina;Grad Zagreb;Grad Zagreb;Lučelnica 50, Lučelnica, Ulica Gupčeva Lipa 20, Zagreb;;;;;;;;Odluka;10.7.2013. 0:00:00;;10.7.2013. 0:00:00;348;27.9.2013. 0:00:00;Sanja Sumrak Radoš;UP/I-612-01/13-01/0027;27.9.2013. 0:00:00;;;
KAZ-150;Laboratorij zabave - studio za igru, zabavu i smijeh d.o.o.;098/1868 587;;laboratorijzabave@gmail.com;Grad Zagreb;Grad Zagreb;Trnjanska cesta 3;Trgovačko društvo;;Ana Grzunov, Dijana Zorić;Grad Zagreb;Grad Zagreb;Trg hrvatskih branitelja Domovinskog rata 2, Zagreb, Šenova 3, Zagreb;;;;;;;;;5.11.2012. 0:00:00;;5.12.2012. 0:00:00;Tt-12/19550-2, MBS: 080818342;5.12.2012. 0:00:00;Dijana Zorić;Tt-12/19550-2;5.12.2012. 0:00:00;;;
KAZ-151;SKROZ;091/3234016;;skroz@skroz.in;Grad Zagreb;Grad Zagreb;Bosanska 8;Umjetnička organizacija;;Bojan Gagić, Nora Krstulović, Vedran Peternel;Grad Zagreb;Grad Zagreb;Trakošćanska 6, Zagreb, Arsenal 1, Korčula, Ancienne Gare marchande, Rue Gabriel Peri, Ablo;;;;;;;;;29.11.2013. 0:00:00;;29.11.2013. 0:00:00;349;5.12.2013. 0:00:00;Nora Krstulović;UP/I-612-01/13-01/0034;5.12.2013. 0:00:00;;;
KAZ-187;Kazališna družina STUDIO 9;;;;Grad Zagreb;Grad Zagreb;Miramarska cesta 13b;Umjetnička organizacija;;Karmen Sunčana Lovrić, Mladen Vujčić;Grad Zagreb;Grad Zagreb;Nikole Šopa 35b, Velika Gorica, Miramarska cesta 35b Zagreb;STUDIO 9 umjetnička organizacija;;;;;;;Odluka;5.2.2017. 0:00:00;;6.2.2017. 0:00:00;425;24.3.2017. 0:00:00;Karmen Sunčana Lovrić;KLASA: UP/I-612-01/17-01/0005;24.3.2017. 0:00:00;;;
KAZ-169/2;Kazališna družina PUK - PUTUJUĆE KAZALIŠTE;098/9031137;;kaopero@gmail.com;Grad Zagreb;Grad Zagreb;Park Ribnjak 1;Umjetnička organizacija;;Franjo Jurčec, Petra Kriletić;Grad Zagreb;Grad Zagreb;Đorđićeva 5, Zagreb, B. Magovca 63, Zagreb;;;;;;;;;13.7.2012. 0:00:00;;13.7.2012. 0:00:00;309;13.7.2012. 0:00:00;Petra Kriletić;UP/I-612-01/12-01/0017;15.1.2015. 0:00:00;;Izmjene: naziv i sjedište u.o. ;
KAZ-184;Kazališna družina "ZAGREBENCI";091/7609525;;arksi.artis@gmail.com;Grad Zagreb;Grad Zagreb;Ivana Rabara 33;Trgovačko društvo;;Brigita Čiček;Grad Zagreb;Grad Zagreb;Ivana Rabara 33;ARKSI ARTIS D.O.O.;Grad Zagreb;Grad Zagreb;Ivana Rabara 33;;;;OU-194/16-1;5.10.2016. 0:00:00;;;Tt-16/36737-2;21.10.2016. 0:00:00;Brigita Čiček;OU-194/16-1;5.10.2016. 0:00:00;;;
KAZ-179;Kazalište/Theater "Bravo";091/4324523;;;Grad Zagreb;Grad Zagreb;Primorska ulica 21;Umjetnička organizacija;;Vinko Štefanac, Rene Bitorajac;Grad Zagreb;Grad Zagreb;Primorska 21;;;;;;;;;2.5.2002. 0:00:00;;3.5.2002. 0:00:00;122;16.5.2002. 0:00:00;Vinko Štefanac;UP/I-612-01/02-01-13;16.5.2002. 0:00:00;Vinko Štefanac, mag. art., glumac,  Mirna Medaković, mag. art, glumica.  Krunoslav Klabučar, dipl. glumac. ;;
KAZ-180;Kazališna družina "VESELA REPUBLIKA";098/274293;;renkas1972@gmail.com;Grad Zagreb;Grad Zagreb;Ulica kralja Zvonimira 63;Umjetnička organizacija;;Rene Bitorajac, Luka Vidović;Grad Zagreb;Grad Zagreb;Vodnikova 7, Zagreb, Turinina 12, Zagreb;;;;;;;;Odluka;30.10.2016. 0:00:00;;23.10.2015. 0:00:00;402;16.11.2015. 0:00:00;Rene Bitorajac;Klasa: UP/I-612-01/15-01/0024;16.11.2015. 0:00:00;;;
KAZ-181;Kazališna družina "GALA teatar";091/546 4202;;;Grad Zagreb;Grad Zagreb;Ogrizovićeva 28;Umjetnička organizacija;;Eduard Galić, Goran Vrbanić ;Grad Zagreb;Grad Zagreb;Bartolići 4, Zagreb, Vrtlarska 37, Zagreb;;;;;;;;Odluka;25.8.2016. 0:00:00;;25.8.2016. 0:00:00;413;7.9.2016. 0:00:00;Eduard Galić;Klasa: UP/I-612-01/16-01/0022;7.9.2016. 0:00:00;;;
KAZ-182;Kazališna družina "MARE";098/419800;;marija.sekelez@zar-ptica.hr;Grad Zagreb;Grad Zagreb;Lovćenska 17A;Umjetnička organizacija;;Marija Sekelez, Sanja Crljen;Grad Zagreb;Grad Zagreb;Lovćenska 17A, Zagreb, A.Pandakovića 11, Zagreb;;;;;;;;OV-8568/16;10.8.2016. 0:00:00;OV-8567/16;10.8.2016. 0:00:00;411;10.8.2016. 0:00:00;Marija Sekelez;Klasa: UP/I-612-01/16-01/0020;10.8.2017. 0:00:00;;;
KAZ-195;Umjetnička organizacija "Kazališna družina A teatar";098/703164;;anamerlin9@gmail.com;Grad Zagreb;Grad Zagreb;Ulica hrvatskih branitelja 17;Umjetnička organizacija;;Ana Merlin, Branka Cvitković-Rački;Grad Zagreb;Grad Zagreb;Ulica hrvatskih branitelja 17, Zagreb, Ivana Kukuljevića 22, Zagreb;;;;;;;;;9.4.2018. 0:00:00;;9.4.2018. 0:00:00;451;23.4.2018. 0:00:00;Ana Merlin;KLASA: UP/I-612-01/18-01/0009;23.4.2018. 0:00:00;;;
